TAXON_NAME,NEW_NAME,FREQUENCY,FEED
Heterostylites longicornis ,Heterostylites longicornis ,119,CC
Heterostylites major ,Heterostylites major ,22,CC
Heterostylites spp. ,Heterostylites spp. ,9,CC
Ischnocalanus plumulosus ,Calocalanus plumulosus ,3,CH
Ischnocalanus sp. ,Calocalanus spp. ,42,CH
Ischnocalanus tenuis ,Calocalanus tenuis ,366,CH
Isias clavipes ,Isias clavipes ,14,CO
Jaschnovia tolli ,Jaschnovia tolli ,20,CO
Labidocera ,Labidocera spp. ,1104,CC
Labidocera acuta ,Labidocera acuta ,1170,CC
Labidocera acutifrons ,Labidocera acutifrons ,232,CC
Labidocera aestiva ,Labidocera aestiva ,6,CC
Labidocera detruncata ,Labidocera detruncata ,86,CC
Labidocera minuta ,Labidocera minuta ,757,CC
Labidocera nerii ,Labidocera nerii ,1,CC
Labidocera pavo ,Labidocera pavo ,1,CC
Labidocera sp. ,Labidocera spp. ,51,CC
Labidocera spp. ,Labidocera spp. ,114,CC
Labidocera wollastoni ,Labidocera wollastoni ,57,CC
Limnocalanus grimaldii ,Limnocalanus grimaldii ,9,CO
Limnocalanus macrurus ,Limnocalanus macrurus ,1797,CO
Limnocalanus sp. ,Limnocalanus spp. ,2,CO
Longipedia helgolandica ,Longipedia helgolandica ,4,CBF
Lophothrix ,Lophothrix spp. ,52,CH
Lophothrix frontalis ,Lophothrix frontalis ,13,CH
Lophothrix latipes ,Lophothrix latipes ,68,CH
Lophothrix sp. ,Lophothrix spp. ,1,CH
Lophothrix spp. ,Lophothrix spp. ,25,CH
Lubbockia aculeata ,Lubbockia aculeata ,89,CO
Lubbockia brevis ,Lubbockia brevis ,6,CO
Lubbockia glacialis ,Lubbockia glacialis ,19,CO
Lubbockia sp. ,Lubbockia spp. ,32,CO
Lubbockia spp. ,Lubbockia spp. ,242,CO
Lubbockia squillimana ,Lubbockia squillimana ,1247,CO
Lucicutia ,Lucicutia spp. ,59,CO
Lucicutia anomala ,Lucicutia anomala ,18,CO
Lucicutia atlantica ,Lucicutia atlantica ,21,CO
Lucicutia bicornuta ,Lucicutia bicornuta ,1,CO
Lucicutia clausii ,Lucicutia clausii ,616,CO
Lucicutia curta ,Lucicutia curta ,342,CO
Lucicutia flavicornis ,Lucicutia flavicornis ,12088,CO
Lucicutia frigida ,Lucicutia frigida ,20,CO
Lucicutia gaussae ,Lucicutia gaussae ,33,CO
Lucicutia gemina ,Lucicutia gemina ,735,CO
Lucicutia grandis ,Lucicutia grandis ,32,CO
Lucicutia longicornis ,Lucicutia longicornis ,37,CO
Lucicutia longiserrata ,Lucicutia longiserrata ,3,CO
Lucicutia lucida ,Lucicutia lucida ,3,CO
Lucicutia macrocera ,Lucicutia macrocera ,11,CO
Lucicutia magna ,Lucicutia magna ,49,CO
Lucicutia oblonga ,Lucicutia oblonga ,1,CO
Lucicutia ovalis ,Lucicutia ovalis ,1824,CO
Lucicutia paraclausi ,Lucicutia paraclausi ,2,CO
Lucicutia polaris ,Lucicutia polaris ,37,CO
Lucicutia simulans ,Lucicutia simulans ,6,CO
Lucicutia sp. ,Lucicutia spp. ,368,CO
Lucicutia sp. A ,Lucicutia spp. ,38,CO
Lucicutia spp. ,Lucicutia spp. ,702,CO
Macrosetella gracilis ,Macrosetella gracilis ,6736,CH
Macrosetella sp. ,Macrosetella spp. ,16,CH
Macrosetella spp. ,Macrosetella spp. ,3,CH
Mecynocera clausi ,Mecynocera clausi ,8530,CH
Mecynocera sp. ,Mecynocera spp. ,79,CH
Mecynocera spp. ,Mecynocera spp. ,8,CH
Megacalanus & bathycalanus & gaussia ,Calanoida,40,CH
Megacalanus spp. ,Megacalanus spp. ,1,CH
Mesocalanus lighti ,Mesocalanus lighti ,62,CH
Mesocalanus tenuicornis ,Mesocalanus tenuicornis ,2554,CH
Mesorhabdus brevicaudatus ,Mesorhabdus brevicaudatus ,1,CC
Metridia ,Metridia spp. ,2409,CO
Metridia & pleuromama sp. ,Metridinidae,62,CO
Metridia brevicauda ,Metridia brevicauda ,114,CO
"Metridia CPR-TOTAL ""traverse"" ","Metridia CPR-TOTAL ""traverse"" ",111,(null)
Metridia curticauda ,Metridia curticauda ,252,CO
Metridia effusa ,Metridia effusa ,61,CO
Metridia gerlachei ,Metridia gerlachei ,892,CO
Metridia longa ,Metridia longa ,1467,CO
Metridia lucens ,Metridia lucens ,11698,CO
Metridia okhotensis ,Metridia okhotensis ,72,CO
Metridia pacifica ,Metridia pacifica ,2234,CO
Metridia princeps ,Metridia princeps ,13,CO
Metridia sp. ,Metridia spp. ,6,CO
Metridia spp. ,Metridia spp. ,479,CO
Metridia venusta ,Metridia venusta ,37,CO
Microcalanids ,Calanoida,106,CH
Microcalanids parts/fragments ,Calanoida,9,CH
Microcalanus ,Microcalanus spp. ,1,CH
Microcalanus pusillus ,Microcalanus pusillus ,23,CH
Microcalanus pygmaeus ,Microcalanus pygmaeus ,2499,CH
Microcalanus sp. ,Microcalanus spp. ,1,CH
Microcalanus spp. ,Microcalanus spp. ,200,CH
Microsetella ,Microsetella spp. ,340,CO
Microsetella norvegica ,Microsetella norvegica ,1629,CO
Microsetella rosea ,Microsetella rosea ,13829,CO
Microsetella sp. ,Microsetella spp. ,241,CO
Microsetella spp. ,Microsetella spp. ,200,CO
Mimocalanus crassus ,Mimocalanus crassus ,3,CH
Mimocalanus cultrifer ,Mimocalanus cultrifer ,8,CH
Mimocalanus distinctocephalus ,Mimocalanus distinctocephalus ,1,CH
Mimocalanus spp. ,Mimocalanus spp. ,11,CH
Miracia ,Miracia spp. ,744,CBF
Miracia efferata ,Miracia efferata ,298,CBF
Miracia sp. ,Miracia spp. ,11,CBF
Miracia spp. ,Miracia spp. ,58,CBF
Monacilla sp. ,Monacilla spp. ,3,CH
Monacilla spp. ,Monacilla spp. ,2,CH
Monacilla typica ,Monacilla typica ,14,CH
Monstrilla ,Monstrilla spp.,300,CBF
Monstrilla longiremis ,Monstrilla longiremis ,1,CBF
Mormonilla minor ,Mormonilla minor ,510,CH
Mormonilla phasma ,Mormonilla phasma ,94,CH
Mormonilla polaris ,Mormonilla polaris ,25,CH
Mormonilla sp. ,Mormonilla spp. ,7,CH
Mormonilla spp. ,Mormonilla spp. ,281,CH
Mormonillidae ,Mormonillidae ,2,CH
Nannocalanus minor ,Nannocalanus minor ,15176,CH
Neocalanus cristatus ,Neocalanus cristatus ,2151,CH
Neocalanus gracilis ,Neocalanus gracilis ,7817,CH
Neocalanus plumchrus ,Neocalanus plumchrus ,2715,CH
Neocalanus robustior ,Neocalanus robustior ,1423,CH
Neocalanus sp. ,Neocalanus spp. ,2,CH
Neocalanus spp. ,Neocalanus spp. ,108,CH
Neocalanus tenuicornis ,Neocalanus tenuicornis ,1182,CH
Neocalanus tonsus ,Neocalanus tonsus ,1277,CH
Nullosetigera aequalis ,Nullosetigera aequalis ,1,CC
Nullosetigera bidentata ,Nullosetigera bidentata ,18,CC
Nullosetigera helgae ,Nullosetigera helgae ,32,CC
Nullosetigera impar ,Nullosetigera impar ,3,CC
Nullosetigera spp. ,Nullosetigera spp. ,19,CC
Oculosetella gracilis ,Oculosetella gracilis ,88,CO
Oithona ,Oithona spp. ,53411,CH
Oithona atlantica ,Oithona atlantica ,715,CH
Oithona attenuata ,Oithona attenuata ,14,CH
Oithona brevicornis ,Oithona brevicornis ,7,CH
Oithona decipiens ,Oithona decipiens ,443,CH
Oithona fallax ,Oithona fallax ,415,CH
Oithona frigida ,Oithona frigida ,2985,CH
Oithona hamata ,Oithona hamata ,66,CH
Oithona hebes ,Oithona hebes ,1,CH
Oithona helgolandica ,Oithona helgolandica ,380,CH
Oithona linearis ,Oithona linearis ,3,CH
Oithona minuta ,Oithona minuta ,6,CH
Oithona nana ,Oithona nana ,964,CH
Oithona plumifera ,Oithona plumifera ,1902,CH
Oithona pseudofrigida ,Oithona pseudofrigida ,37,CH
Oithona pseudovivida ,Oithona pseudovivida ,37,CH
Oithona robusta ,Oithona robusta ,495,CH
Oithona setigera ,Oithona setigera ,1516,CH
Oithona similis ,Oithona similis ,9898,CH
Oithona similis spp. ,Oithona spp. ,4,CH
Oithona simplex ,Oithona simplex ,103,CH
Oithona sp. ,Oithona spp. ,1457,CH
Oithona spp. ,Oithona spp. ,6868,CH
Oithona tenuis ,Oithona tenuis ,280,CH
Oithona vivida ,Oithona vivida ,325,CH
Oithonidae ,Oithonidae ,41,CH
Oncaea ,Oncaea spp. ,39825,CO
Oncaea atlantica ,Oncaea atlantica ,10,CO
Oncaea bathyalis ,Oncaea bathyalis ,54,CO
Oncaea borealis ,Oncaea borealis ,74,CO
Oncaea brodskii ,Oncaea brodskii ,32,CO
Oncaea clevei ,Oncaea clevei ,43,CO
Oncaea conifera ,Oncaea conifera ,2762,CO
Oncaea curta ,Oncaea curta ,825,CO
Oncaea curvata ,Oncaea curvata ,1244,CO
Oncaea dentipes ,Oncaea dentipes ,711,CO
Oncaea infantula ,Oncaea infantula ,2,CO
Oncaea ivlevi ,Oncaea ivlevi ,43,CO
Oncaea longiseta ,Oncaea longiseta ,38,CO
Oncaea media ,Oncaea media ,1856,CO
Oncaea mediterranea ,Oncaea mediterranea ,1515,CO
Oncaea minuta ,Oncaea minuta ,1119,CO
Oncaea neobscura ,Oncaea neobscura ,24,CO
Oncaea notopus ,Oncaea notopus ,444,CO
Oncaea obscura ,Oncaea obscura ,101,CO
Oncaea ornata ,Oncaea ornata ,135,CO
Oncaea ovalis ,Oncaea ovalis ,108,CO
Oncaea parila ,Oncaea parila ,2,CO
Oncaea parobscura ,Oncaea parobscura ,1,CO
Oncaea prendeli ,Oncaea prendeli ,6,CO
Oncaea shmelevi ,Oncaea shmelevi ,146,CO
Oncaea similis ,Oncaea similis ,167,CO
Oncaea sp. ,Oncaea spp. ,1824,CO
Oncaea spp. ,Oncaea spp. ,5028,CO
Oncaea subtilis ,Oncaea subtilis ,415,CO
Oncaea tenella ,Oncaea tenella ,37,CO
Oncaea tenuimana ,Oncaea tenuimana ,28,CO
Oncaea tregoubovi ,Oncaea tregoubovi ,2,CO
Oncaea venusta ,Oncaea venusta ,1414,CO
Oncaea venusta venella ,Oncaea venusta venella ,414,CO
Oncaea zernovi ,Oncaea zernovi ,62,CO
Oncaeidae ,Oncaeidae ,7,CO
Onchocalanus magnus ,Onchocalanus magnus ,8,CH
P-cal & parac & claus & pseud & cten copepodids ,Calanoida,118,CH
Pachos punctatum ,Pachos punctatum ,43,CO
Pachos sp. ,Pachos spp. ,2,CO
Pachos spp. ,Pachos spp. ,18,CO
Paracalanidae ,Paracalanidae ,2,CH
Paracalanus ,Paracalanus spp. ,5636,CH
Paracalanus & pseudocalanus ,Paracalanus & pseudocalanus ,1447,CH
Paracalanus & pseudocalanus spp. ,Paracalanus & pseudocalanus spp. ,2180,CH
Paracalanus aculeatus ,Paracalanus aculeatus ,9563,CH
Paracalanus crassirostris ,Paracalanus crassirostris ,99,CH
Paracalanus denudatus ,Paracalanus denudatus ,1821,CH
Paracalanus indicus ,Paracalanus indicus ,79,CH
Paracalanus nanus ,Paracalanus nanus ,1134,CH
Paracalanus nudus ,Paracalanus nudus ,2548,CH
Paracalanus parvus ,Paracalanus parvus ,12428,CH
Paracalanus pygmaeus ,Paracalanus pygmaeus ,390,CH
Paracalanus sp. ,Paracalanus spp. ,534,CH
Paracalanus sp. A ,Paracalanus spp. ,90,CH
Paracalanus sp. B ,Paracalanus spp. ,57,CH
Paracalanus sp. C ,Paracalanus spp. ,46,CH
Paracalanus spp. ,Paracalanus spp. ,1422,CH
Paracalanus tropicus ,Paracalanus tropicus ,90,CH
Paradisco spp. ,Paradisco spp. ,2,CO
Paraeuchaeta antarctica ,Paraeuchaeta antarctica ,3,CC
Paraeuchaeta barbata ,Paraeuchaeta barbata ,15,CC
Paraeuchaeta biloba ,Paraeuchaeta biloba ,51,CC
Paraeuchaeta bisinuata ,Paraeuchaeta bisinuata ,1,CC
Paraeuchaeta elongata ,Paraeuchaeta elongata ,99,CC
Paraeuchaeta exigua ,Paraeuchaeta exigua ,4,CC
Paraeuchaeta flava ,Paraeuchaeta flava ,1,CC
Paraeuchaeta glacialis ,Paraeuchaeta glacialis ,265,CC
Paraeuchaeta gracilis ,Paraeuchaeta gracilis ,21,CC
Paraeuchaeta hebes ,Paraeuchaeta hebes ,527,CC
Paraeuchaeta incisa ,Paraeuchaeta incisa ,1,CC
Paraeuchaeta norvegica ,Paraeuchaeta norvegica ,678,CC
Paraeuchaeta polaris ,Paraeuchaeta polaris ,16,CC
Paraeuchaeta pubera ,Paraeuchaeta pubera ,11,CC
Paraeuchaeta spp. ,Paraeuchaeta spp. ,226,CC
Paraeuchaeta tonsa ,Paraeuchaeta tonsa ,14,CC
Paraheterorhabdus compactus ,Paraheterorhabdus compactus ,133,CC
Paraheterorhabdus robustus ,Paraheterorhabdus robustus ,14,CC
Parathalestris croni ,Parathalestris cronii,6,CO
Paraugaptilus buchani ,Paraugaptilus buchani ,5,CC
Paraugaptilus spp. ,Paraugaptilus spp. ,5,CC
Pareucalanus attenuatus ,Pareucalanus attenuatus ,8919,CH
Pareucalanus langae ,Pareucalanus langae ,1,CH
Pareucalanus sewelli ,Pareucalanus sewelli ,58,CH
Pareuchaeta antarctica ,Paraeuchaeta antarctica ,114,CC
Pareuchaeta biloba ,Paraeuchaeta biloba ,1288,CC
Pareuchaeta erebi ,Paraeuchaeta erebi ,1412,CC
Pareuchaeta japonica ,Paraeuchaeta japonica ,17,CC
Pareuchaeta rasa ,Pareuchaeta rasa ,6,CC
Paroithona parvula ,Paroithona parvula ,278,CH
Paroithona pulla ,Paroithona pulla ,145,CH
Paroithona sp. ,Paroithona spp. ,13,CH
Paroithona spp. ,Paroithona spp. ,235,CH
Parvocalanus ,Parvocalanus spp.,5416,CH
Parvocalanus elegans ,Parvocalanus elegans ,532,CH
Parvocalanus latus ,Parvocalanus latus ,2760,CH
Phaenna ,Phaenna spp. ,340,CH
Phaenna sp. ,Phaenna spp. ,2,CH
Phaenna spinifera ,Phaenna spinifera ,134,CH
Phaenna spp. ,Phaenna spp. ,30,CH
Phaennidae ,Phaennidae ,2,CH
Pleuromamma ,Pleuromamma spp. ,2671,CO
Pleuromamma abdominalis ,Pleuromamma abdominalis ,7960,CO
Pleuromamma borealis ,Pleuromamma borealis ,3175,CO
Pleuromamma gracilis ,Pleuromamma gracilis ,6353,CO
Pleuromamma indica ,Pleuromamma indica ,4015,CO
Pleuromamma piseki ,Pleuromamma piseki ,665,CO
Pleuromamma quadrungulata ,Pleuromamma quadrungulata ,175,CO
Pleuromamma robusta ,Pleuromamma robusta ,4100,CO
Pleuromamma scutullata ,Pleuromamma scutullata ,4,CO
Pleuromamma sp. ,Pleuromamma spp. ,484,CO
Pleuromamma spp. ,Pleuromamma spp. ,1522,CO
Pleuromamma xiphias ,Pleuromamma xiphias ,2019,CO
Poecilostomatoida ,Poecilostomatoida ,1,CH
Pontella ,Pontella spp. ,84,CC
Pontella mediterranea ,Pontella mediterranea ,23,CC
Pontella sp. ,Pontella spp. ,85,CC
Pontella spp. ,Pontella spp. ,44,CC
Pontellidae ,Pontellidae ,123,CC
Pontellidae sp. ,Pontellidae spp. ,62,CC
Pontellina plumata ,Pontellina plumata ,2093,CC
Pontellina sp. ,Pontellina spp. ,32,CC
Pontellina spp. ,Pontellina spp. ,14,CC
Pontellopsis ,Pontellopsis spp. ,88,CC
Pontellopsis brevis ,Pontellopsis brevis ,1,CC
Pontellopsis perspicax ,Pontellopsis perspicax ,1,CC
Pontellopsis regalis ,Pontellopsis regalis ,7,CC
Pontellopsis sp. ,Pontellopsis spp. ,1,CC
Pontellopsis spp. ,Pontellopsis spp. ,7,CC
Pontellopsis villosa ,Pontellopsis villosa ,2,CC
Pontoeciella abyssicola ,Pontoeciella abyssicola ,150,CP
Pontoeciella spp. ,Pontoeciella spp. ,13,CP
Pseudaugaptilus longiremus ,Pseudaugaptilus longiremis ,1,CC
Pseudaugaptilus polaris ,Pseudaugaptilus polaris ,8,CC
Pseudeuchaeta spp. ,Pseudeuchaeta spp. ,3,CC
Pseudhaloptilus sp. ,Pseudhaloptilus spp. ,1,CC
Pseudhaloptilus spp. ,Pseudhaloptilus spp. ,7,CC
Pseudoamallothrix ovata ,Pseudoamallothrix ovata ,123,CH
Pseudocalanus ,Pseudocalanus spp. ,181,CH
Pseudocalanus elongatus ,Pseudocalanus elongatus ,1078,CH
Pseudocalanus gracilis ,Pseudocalanus gracilis ,33,CH
Pseudocalanus minutus ,Pseudocalanus minutus ,1119,CH
Pseudocalanus minutus elongatus ,Pseudocalanus minutus elongatus ,2640,CH
Pseudocalanus sp. ,Pseudocalanus spp. ,990,CH
Pseudocalanus spp. ,Pseudocalanus spp. ,1158,CH
Pseudochirella mawsoni ,Pseudochirella mawsoni ,2,CO
Pseudochirella pustulifera ,Pseudochirella pustulifera ,1,CO
Pseudochirella sp. ,Pseudochirella spp. ,1,CO
Pseudochirella spectabilis ,Pseudochirella spectabilis ,24,CO
Pseudochirella spp. ,Pseudochirella spp. ,7,CO
Pseudodiaptomus ,Pseudodiaptomus spp. ,1272,CO
Pseudodiaptomus spp. ,Pseudodiaptomus spp. ,1,CO
Racovitzanus ,Racovitzanus spp. ,30,CH
Racovitzanus antarcticus ,Racovitzanus antarcticus ,727,CH
Racovitzanus sp. ,Racovitzanus spp. ,1,CH
Racovitzanus spp. ,Racovitzanus spp. ,14,CH
Ratania atlantica ,Ratania atlantica ,2,CP
Ratania flava ,Ratania flava ,21,CP
Ratania sp. ,Ratania spp. ,2,CP
Ratania spp. ,Ratania spp. ,1,CP
Rhincalanus ,Rhincalanus spp. ,13,CH
Rhincalanus cornutus ,Rhincalanus cornutus ,4832,CH
Rhincalanus gigas ,Rhincalanus gigas ,10188,CH
Rhincalanus nasutus ,Rhincalanus nasutus ,6859,CH
Rhincalanus rostrifrons ,Rhincalanus rostrifrons ,37,CH
Rhincalanus sp. ,Rhincalanus spp. ,138,CH
Rhincalanus spp. ,Rhincalanus spp. ,91,CH
Saphirella spp. ,Saphirella spp. ,1,CC
Saphirella tropica ,Saphirella tropica ,2,CC
Sapphirina ,Sapphirina spp. ,4580,CO
Sapphirina angusta ,Sapphirina angusta ,62,CO
Sapphirina auronitens ,Sapphirina auronitens ,6,CO
Sapphirina bicuspidata ,Sapphirina bicuspidata ,4,CO
Sapphirina darwini ,Sapphirina darwini ,10,CO
Sapphirina gastrica ,Sapphirina gastrica ,1,CO
Sapphirina gemma ,Sapphirina gemma ,17,CO
Sapphirina intestinata ,Sapphirina intestinata ,13,CO
Sapphirina iris ,Sapphirina iris ,1,CO
Sapphirina lactens ,Sapphirina lactens ,6,CO
Sapphirina maculosa ,Sapphirina maculosa ,15,CO
Sapphirina metallina ,Sapphirina metallina ,255,CO
Sapphirina nigromaculata ,Sapphirina nigromaculata ,154,CO
Sapphirina opalina ,Sapphirina opalina ,47,CO
Sapphirina ovatolanceolata ,Sapphirina ovatolanceolata ,104,CO
Sapphirina pyrosomatis ,Sapphirina pyrosomatis ,3,CO
Sapphirina scarlata ,Sapphirina scarlata ,22,CO
Sapphirina sp. ,Sapphirina spp. ,399,CO
Sapphirina spp. ,Sapphirina spp. ,788,CO
Sapphirina vorax ,Sapphirina vorax ,1,CO
Sapphirinidae ,Sapphirinidae ,1783,CO
Scaphocalanus ,Scaphocalanus spp. ,1869,CH
Scaphocalanus affinis ,Scaphocalanus affinis ,26,CH
Scaphocalanus amplius ,Scaphocalanus amplius ,3,CH
Scaphocalanus angulifrons ,Scaphocalanus angulifrons ,1,CH
Scaphocalanus brevicornis ,Scaphocalanus brevicornis ,745,CH
Scaphocalanus brevirostris ,Scaphocalanus brevirostris ,9,CH
Scaphocalanus curtus ,Scaphocalanus curtus ,117,CH
Scaphocalanus echinatus ,Scaphocalanus echinatus ,263,CH
Scaphocalanus impar ,Scaphocalanus impar ,2,CH
Scaphocalanus longifurca ,Scaphocalanus longifurca ,5,CH
Scaphocalanus magnus ,Scaphocalanus magnus ,260,CH
Scaphocalanus major ,Scaphocalanus major ,1,CH
Scaphocalanus medius ,Scaphocalanus medius ,14,CH
Scaphocalanus minutus ,Scaphocalanus minutus ,2,CH
Scaphocalanus polaris ,Scaphocalanus polaris ,23,CH
Scaphocalanus robustus ,Scaphocalanus robustus ,1,CH
Scaphocalanus sp. ,Scaphocalanus spp. ,21,CH
Scaphocalanus spp. ,Scaphocalanus spp. ,465,CH
Scaphocalanus subbrevicornis ,Scaphocalanus subbrevicornis ,235,CH
Scaphocalanus subcurtus ,Scaphocalanus subcurtus ,89,CH
Scolecithricella ,Scolecithricella spp. ,1936,CH
Scolecithricella abyssalis ,Scolecithricella abyssalis ,253,CH
Scolecithricella auropecten ,Scolecithricella auropecten ,10,CH
Scolecithricella dentata ,Scolecithricella dentata ,246,CH
Scolecithricella gracialis ,Scolecithricella gracialis ,3132,CH
Scolecithricella longipes ,Scolecithricella longipes ,1,CH
Scolecithricella marginata ,Scolecithricella marginata ,781,CH
Scolecithricella minor ,Scolecithricella minor ,1264,CH
Scolecithricella orientalis ,Scolecithricella orientalis ,43,CH
Scolecithricella paramarginata ,Scolecithricella paramarginata ,1,CH
Scolecithricella profunda ,Scolecithricella profunda ,1,CH
Scolecithricella sp. ,Scolecithricella spp. ,528,CH
Scolecithricella sp. A ,Scolecithricella spp. ,35,CH
Scolecithricella sp. B ,Scolecithricella spp. ,53,CH
Scolecithricella spp. ,Scolecithricella spp. ,687,CH
Scolecithricella tenuiserrata ,Scolecithricella tenuiserrata ,279,CH
Scolecithricella vittata ,Scolecithricella vittata ,129,CH
Scolecithrichopsis ctenopus ,Scolecithrichopsis ctenopus ,50,CH
Scolecithrix bradyi ,Scolecithrix bradyi ,1562,CH
Scolecithrix brevicornis ,Scolecithrix brevicornis ,1,CH
Scolecithrix danae ,Scolecithrix danae ,6751,CH
Scolecithrix fowleri ,Scolecithrix fowleri ,1,CH
Scolecithrix polaris ,Scolecithrix polaris ,28,CH
Scolecithrix sp. ,Scolecithrix spp. ,219,CH
Scolecithrix spp. ,Scolecithrix spp. ,160,CH
Scolecitrichidae ,Scolecitrichidae ,250,CH
Scolecitrichidae sp. ,Scolecitrichidae ,63,CH
Scolecitrichopsis ctenopus ,Scolecitrichopsis ctenopus ,489,CH
Scottocalanus ,Scottocalanus spp. ,796,CH
Scottocalanus australis ,Scottocalanus australis ,2,CH
Scottocalanus helenae ,Scottocalanus helenae ,2,CH
Scottocalanus persecans ,Scottocalanus persecans ,39,CH
Scottocalanus securifrons ,Scottocalanus securifrons ,160,CH
Scottocalanus spp. ,Scottocalanus spp. ,42,CH
Siphonostomatoida ,Siphonostomatoida ,17,CP
Spinocalanidae ,Spinocalanidae ,6,CH
Spinocalanus ,Spinocalanus spp. ,241,CH
Spinocalanus abyssalis ,Spinocalanus abyssalis ,382,CH
Spinocalanus brevicaudatus ,Spinocalanus brevicaudatus ,3,CH
Spinocalanus caudatus ,Spinocalanus caudatus ,6,CH
Spinocalanus elongatus ,Spinocalanus elongatus ,52,CH
Spinocalanus longicornis ,Spinocalanus longicornis ,191,CH
Spinocalanus longispinus ,Spinocalanus longispinus ,31,CH
Spinocalanus magnus ,Spinocalanus magnus ,166,CH
Spinocalanus oligospinosus ,Spinocalanus oligospinosus ,1,CH
Spinocalanus parabyssalis ,Spinocalanus parabyssalis ,52,CH
Spinocalanus polaris ,Spinocalanus polaris ,25,CH
Spinocalanus sp. ,Spinocalanus spp. ,8,CH
Spinocalanus spinosus ,Spinocalanus spinosus ,6,CH
Spinocalanus spp. ,Spinocalanus spp. ,314,CH
Spinocalanus terranovae ,Spinocalanus terranovae ,1,CH
Stephos longipes ,Stephos longipes ,34,CH
Stephos spp. ,Stephos spp. ,13,CH
Subeucalanus crassus ,Subeucalanus crassus ,10,CH
Subeucalanus monachus ,Subeucalanus monachus ,448,CH
Subeucalanus pileatus ,Subeucalanus pileatus ,869,CH
Subeucalanus subcrassus ,Subeucalanus subcrassus ,367,CH
Temora discaudata ,Temora discaudata ,3017,CH
Temora longicornis ,Temora longicornis ,4435,CH
Temora sp. ,Temora spp. ,238,CH
Temora spp. ,Temora spp. ,184,CH
Temora stylifera ,Temora stylifera ,3719,CH
Temora turbinata ,Temora turbinata ,1227,CH
Temorites brevis ,Temorites brevis ,127,CH
Temorites spp. ,Temorites spp. ,2,CH
Temoropia mayumbaensis ,Temoropia mayumbaensis ,2055,CO
Temoropia spp. ,Temoropia spp. ,52,CO
Tharybidae ,Tharybidae ,6,CH
Tisbe furcata ,Tisbe furcata ,22,CP
Tortanus discaudatus ,Tortanus discaudatus ,39,CC
Undeuchaeta ,Undeuchaeta spp. ,128,CC
Undeuchaeta incisa ,Undeuchaeta incisa ,4,CC
Undeuchaeta magna ,Undeuchaeta magna ,3,CC
Undeuchaeta major ,Undeuchaeta major ,171,CC
Undeuchaeta minor ,Undeuchaeta minor ,1,CC
Undeuchaeta plumosa ,Undeuchaeta plumosa ,425,CC
Undeuchaeta sp. ,Undeuchaeta spp. ,3,CC
Undeuchaeta spp. ,Undeuchaeta spp. ,228,CC
Undinella oblonga ,Undinella oblonga ,13,CH
Undinella simplex ,Undinella simplex ,1,CH
Undinella spp. ,Undinella spp. ,3,CH
Undinula vulgaris ,Undinula vulgaris ,7318,CH
Urocorycaeus spp. ,Urocorycaeus spp. ,1,CC
Vettoria granulosa ,Vettoria granulosa ,238,CO
Vettoria parva ,Vettoria parva ,126,CO
Vettoria sp. ,Vettoria spp. ,12,CO
Vettoria spp. ,Vettoria spp. ,41,CO
Xanthocalanus agilis ,Xanthocalanus agilis ,2,CH
Xanthocalanus magnus ,Xanthocalanus magnus ,1,CH
Xanthocalanus polaris ,Xanthocalanus polaris ,3,CH
Xanthocalanus propinquus ,Xanthocalanus propinquus ,5,CH
Xanthocalanus spp. ,Xanthocalanus spp. ,9,CH
Ominvore.Cope,Ominvore.Cope,631,CO
Carnivore.Cope,Carnivore.Cope,631,CC